Market Rank,Success Rank,Country,Region,Tier,HS950440 Import USD,Importer Category,Primary Buyer Roles,Language,Product Focus,Export Success Index %,Success Band,Data Confidence,Wave,Email Campaign,Email Subject,CTA,Opportunity Score /100,Metric Note,Search Keywords,Buyer Search Query EN,Buyer Search Query Local,Recommended Channels,Research Priority
11,11,Tanzania,Africa,A,853980.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,English,Tourism / Core,72,Priority B,High,Wave 2,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,72,Internal export opportunity score; not a probability of sale,تنزانيا Tanzania Zanzibar زنجبار | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / Core | Tourism / Souvenir | English | Wave 2 | Priority B,""Tanzania" tourism souvenir hotel resort hospitality gift shop duty free merchandise",playing cards importer games distributor promotional gifts Tanzania,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,High
12,12,Uganda,Africa,A,989300.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,69,Priority C,High,Wave 2,Regional Supplier Alternative,A closer deck supplier,Send current specification,69,Internal export opportunity score; not a probability of sale,أوغندا اوغندا Uganda | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Regional Supplier Alternative | English | Wave 2 | Priority C,""Uganda" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Uganda,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
13,12,Algeria,Africa,B,532770.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,Arabic + French + English,Core / Heritage,69,Priority C,High,Wave 2,Regional Supplier Alternative,A closer deck supplier,Send current specification,69,Internal export opportunity score; not a probability of sale,الجزائر Algeria Algérie Algerie | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core / Heritage | Regional Supplier Alternative | Arabic + French + English | Wave 2 | Priority C,""Algeria" playing cards games importer distributor wholesale retail category buyer",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية الجزائر,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
14,14,Ghana,Africa,B,231910.0,Private-Label / Corporate Gifting Importer,Owner / Import Manager / Marketing Director / Procurement,English,BrandLab / Core,68,Priority C,High,Wave 2,Corporate BrandLab,52 branded touchpoints,Request a visual concept,68,Internal export opportunity score; not a probability of sale,غانا Ghana | Private-Label / Corporate Gifting Importer | private label corporate gifting promotional merchandise branded gifts procurement marketing | Owner / Import Manager / Marketing Director / Procurement | BrandLab / Core | Corporate BrandLab | English | Wave 2 | Priority C,""Ghana" private label corporate gifting promotional merchandise branded gifts procurement marketing",playing cards importer games distributor promotional gifts Ghana,LinkedIn + Google Search + promotional merchandise directories + gifting agencies,Selective
15,15,Tunisia,Africa,B,45060.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,Arabic + French + English,Tourism / Heritage,67,Priority C,High,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,67,Internal export opportunity score; not a probability of sale,تونس Tunisia Tunisie | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / Heritage | Tourism / Souvenir | Arabic + French + English | Discovery | Priority C,""Tunisia" tourism souvenir hotel resort hospitality gift shop duty free merchandise",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية تونس,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Selective
16,16,Seychelles,Africa,B,20420.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,English,Tourism,66,Priority C,High,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,66,Internal export opportunity score; not a probability of sale,سيشل Seychelles | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism | Tourism / Souvenir | English | Discovery | Priority C,""Seychelles" tourism souvenir hotel resort hospitality gift shop duty free merchandise",playing cards importer games distributor promotional gifts Seychelles,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Selective
18,17,Madagascar,Africa,B,297980.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,French + English,Tourism / Core,65,Priority C,High,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,65,Internal export opportunity score; not a probability of sale,مدغشقر Madagascar | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / Core | Tourism / Souvenir | French + English | Discovery | Priority C,""Madagascar" tourism souvenir hotel resort hospitality gift shop duty free merchandise",importateur cartes à jouer distributeur jeux cadeaux promotionnels Madagascar,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Selective
17,18,Ethiopia,Africa,B,1661046.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,61,Priority C,Medium,Discovery,Regional Supplier Alternative,A closer deck supplier,Send current specification,61,Internal export opportunity score; not a probability of sale,إثيوبيا اثيوبيا Ethiopia | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Regional Supplier Alternative | English | Discovery | Priority C,""Ethiopia" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Ethiopia,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
20,19,Nigeria,Africa,B,159260.0,Private-Label / Corporate Gifting Importer,Owner / Import Manager / Marketing Director / Procurement,English,BrandLab / Core,60,Priority C,High,Discovery,Corporate BrandLab,52 branded touchpoints,Request a visual concept,60,Internal export opportunity score; not a probability of sale,نيجيريا Nigeria | Private-Label / Corporate Gifting Importer | private label corporate gifting promotional merchandise branded gifts procurement marketing | Owner / Import Manager / Marketing Director / Procurement | BrandLab / Core | Corporate BrandLab | English | Discovery | Priority C,""Nigeria" private label corporate gifting promotional merchandise branded gifts procurement marketing",playing cards importer games distributor promotional gifts Nigeria,LinkedIn + Google Search + promotional merchandise directories + gifting agencies,Selective
23,20,Namibia,Africa,B,112330.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,English,Premium Core,59,Priority C,High,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,59,Internal export opportunity score; not a probability of sale,ناميبيا Namibia | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Premium Core | Tourism / Souvenir | English | Discovery | Priority C,""Namibia" tourism souvenir hotel resort hospitality gift shop duty free merchandise",playing cards importer games distributor promotional gifts Namibia,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Selective
24,21,Angola,Africa,B,396980.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,Portuguese + English,Core,57,Priority C,High,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,57,Internal export opportunity score; not a probability of sale,أنغولا انجولا Angola | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | Portuguese + English | Discovery | Priority C,""Angola" playing cards games importer distributor wholesale retail category buyer",importador cartas de jogar distribuidor jogos brindes promocionais Angola,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
26,22,Côte d’Ivoire,Africa,C,74110.0,Private-Label / Corporate Gifting Importer,Owner / Import Manager / Marketing Director / Procurement,French + English,Core / BrandLab,55,Priority C,High,Discovery,Corporate BrandLab,52 branded touchpoints,Request a visual concept,55,Internal export opportunity score; not a probability of sale,Sاحل العاج كوت ديفوار Côte d’Ivoire Cote d'Ivoire Ivory Coast | Private-Label / Corporate Gifting Importer | private label corporate gifting promotional merchandise branded gifts procurement marketing | Owner / Import Manager / Marketing Director / Procurement | Core / BrandLab | Corporate BrandLab | French + English | Discovery | Priority C,""Côte d’Ivoire" private label corporate gifting promotional merchandise branded gifts procurement marketing",importateur cartes à jouer distributeur jeux cadeaux promotionnels Côte d’Ivoire,LinkedIn + Google Search + promotional merchandise directories + gifting agencies,Selective
27,22,Senegal,Africa,C,54450.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,French + English,Tourism / Core,55,Priority C,High,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,55,Internal export opportunity score; not a probability of sale,السنغال Senegal | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / Core | Tourism / Souvenir | French + English | Discovery | Priority C,""Senegal" tourism souvenir hotel resort hospitality gift shop duty free merchandise",importateur cartes à jouer distributeur jeux cadeaux promotionnels Senegal,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Selective
28,22,Zambia,Africa,C,45850.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,55,Priority C,High,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,55,Internal export opportunity score; not a probability of sale,زامبيا Zambia | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | English | Discovery | Priority C,""Zambia" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Zambia,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
21,25,DR Congo,Africa,B,214080.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,French + English,Core,54,Test / Research,Medium,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,54,Internal export opportunity score; not a probability of sale,الكونغو الديمقراطية جمهورية الكونغو الديمقراطية DRC DR Congo Congo Kinshasa | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | French + English | Discovery | Test / Research,""DR Congo" playing cards games importer distributor wholesale retail category buyer",importateur cartes à jouer distributeur jeux cadeaux promotionnels DR Congo,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
22,25,Cameroon,Africa,B,132570.0,Private-Label / Corporate Gifting Importer,Owner / Import Manager / Marketing Director / Procurement,French + English,Core / Private Label,54,Test / Research,Medium,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,54,Internal export opportunity score; not a probability of sale,الكاميرون Cameroon Cameroun | Private-Label / Corporate Gifting Importer | private label corporate gifting promotional merchandise branded gifts procurement marketing | Owner / Import Manager / Marketing Director / Procurement | Core / Private Label | Distributor Acquisition | French + English | Discovery | Test / Research,""Cameroon" private label corporate gifting promotional merchandise branded gifts procurement marketing",importateur cartes à jouer distributeur jeux cadeaux promotionnels Cameroon,LinkedIn + Google Search + promotional merchandise directories + gifting agencies,Selective
29,25,Malawi,Africa,C,61470.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,54,Test / Research,High,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,54,Internal export opportunity score; not a probability of sale,مالاوي Malawi | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | English | Discovery | Test / Research,""Malawi" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Malawi,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
19,28,Rwanda,Africa,B,,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,English,Hospitality / BrandLab,52,Test / Research,Low,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,52,Internal export opportunity score; not a probability of sale,رواندا Rwanda | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Hospitality / BrandLab | Tourism / Souvenir | English | Discovery | Test / Research,""Rwanda" tourism souvenir hotel resort hospitality gift shop duty free merchandise",playing cards importer games distributor promotional gifts Rwanda,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Research-first
34,29,Zimbabwe,Africa,C,24920.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,51,Test / Research,High,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,51,Internal export opportunity score; not a probability of sale,زيمبابوي Zimbabwe | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | English | Discovery | Test / Research,""Zimbabwe" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Zimbabwe,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
35,29,Cape Verde,Africa,C,13830.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,Portuguese + English,Tourism,51,Test / Research,High,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,51,Internal export opportunity score; not a probability of sale,الرأس الأخضر كاب فيردي Cape Verde Cabo Verde | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism | Tourism / Souvenir | Portuguese + English | Discovery | Test / Research,""Cape Verde" tourism souvenir hotel resort hospitality gift shop duty free merchandise",importador cartas de jogar distribuidor jogos brindes promocionais Cape Verde,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Selective
30,31,Djibouti,Africa,C,10657.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,Arabic + French + English,Core,50,Test / Research,Medium,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,50,Internal export opportunity score; not a probability of sale,جيبوتي Djibouti | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | Arabic + French + English | Discovery | Test / Research,""Djibouti" playing cards games importer distributor wholesale retail category buyer",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية جيبوتي,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
36,32,Mozambique,Africa,C,41640.0,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,Portuguese + English,Tourism / Core,49,Test / Research,High,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,49,Internal export opportunity score; not a probability of sale,موزمبيق Mozambique | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / Core | Tourism / Souvenir | Portuguese + English | Discovery | Test / Research,""Mozambique" tourism souvenir hotel resort hospitality gift shop duty free merchandise",importador cartas de jogar distribuidor jogos brindes promocionais Mozambique,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Selective
33,33,Botswana,Africa,C,23708.0,Premium Games / Gift Distributor,Owner / Category Buyer / Import Manager,English,Premium Core,48,Test / Research,Medium,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,48,Internal export opportunity score; not a probability of sale,بوتسوانا Botswana | Premium Games / Gift Distributor | premium games gifts distributor specialty retail collector | Owner / Category Buyer / Import Manager | Premium Core | Distributor Acquisition | English | Discovery | Test / Research,""Botswana" premium games gifts distributor specialty retail collector",playing cards importer games distributor promotional gifts Botswana,LinkedIn + specialty retail directories + gift/game distributors,Selective
37,33,Benin,Africa,C,58600.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,French + English,Core,48,Test / Research,High,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,48,Internal export opportunity score; not a probability of sale,بنين Benin | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | French + English | Discovery | Test / Research,""Benin" playing cards games importer distributor wholesale retail category buyer",importateur cartes à jouer distributeur jeux cadeaux promotionnels Benin,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
25,35,Libya,Africa,B,,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,Arabic + English,Core / Heritage,47,Test / Research,Low,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,47,Internal export opportunity score; not a probability of sale,ليبيا Libya | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core / Heritage | Distributor Acquisition | Arabic + English | Discovery | Test / Research,""Libya" playing cards games importer distributor wholesale retail category buyer",مستورد كوتشينة ورق لعب موزع ألعاب هدايا دعائية ليبيا,Google Search + LinkedIn + importer/distributor databases + trade directories,Research-first
39,36,Lesotho,Africa,C,18680.0,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,44,Test / Research,High,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,44,Internal export opportunity score; not a probability of sale,ليسوتو Lesotho | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | English | Discovery | Test / Research,""Lesotho" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Lesotho,Google Search + LinkedIn + importer/distributor databases + trade directories,Selective
31,37,Eswatini,Africa,C,,Playing Cards / Games Importer & General Distributor,Owner / CEO / Import Manager / Category Buyer,English,Core,43,Test / Research,Low,Discovery,Distributor Acquisition,Playing cards for {{Country}},Reply SEND RANGE,43,Internal export opportunity score; not a probability of sale,إسواتيني اسواتيني سوازيلاند Eswatini Swaziland | Playing Cards / Games Importer & General Distributor | playing cards games importer distributor wholesale retail category buyer | Owner / CEO / Import Manager / Category Buyer | Core | Distributor Acquisition | English | Discovery | Test / Research,""Eswatini" playing cards games importer distributor wholesale retail category buyer",playing cards importer games distributor promotional gifts Eswatini,Google Search + LinkedIn + importer/distributor databases + trade directories,Research-first
32,37,Comoros,Africa,C,,Tourism / Souvenir Importer & Hospitality Supplier,Owner / Import Manager / Merchandise Buyer / Hotel Procurement,French + English,Tourism / Core,43,Test / Research,Low,Discovery,Tourism / Souvenir,Put {{City}} in their pocket,Request a destination concept,43,Internal export opportunity score; not a probability of sale,جزر القمر Comoros | Tourism / Souvenir Importer & Hospitality Supplier | tourism souvenir hotel resort hospitality gift shop duty free merchandise | Owner / Import Manager / Merchandise Buyer / Hotel Procurement | Tourism / Core | Tourism / Souvenir | French + English | Discovery | Test / Research,""Comoros" tourism souvenir hotel resort hospitality gift shop duty free merchandise",importateur cartes à jouer distributeur jeux cadeaux promotionnels Comoros,Google Search + LinkedIn + hotel/souvenir directories + tourism trade fairs,Research-first
